S.No.,State,City,Category,Alcohol,Hotel Name,Address,Total Rooms,Ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Gujarat,Ahmedabad,3 Star,Without Alcohol,COMFORT INN SUNSET,AIRPORT CIRCLE HANSOL AHMEDABAD,57,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Gujarat,Ahmedabad,3 Star,Without Alcohol,HOTEL CENTRA,KHANPUR  AHMEDABAD 380001,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Gujarat,Ahmedabad,3 Star,Without Alcohol,HOTEL NALANDA,MITHAKHALI SIX ROADS  NEAR LIONS HALL  ELLISBRIDGE  AHMEDABAD   380 006,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Gujarat,Ahmedabad,3 Star,Without Alcohol,Hotel Silvera Grand,Unit of Silvera Hotels  Dehgam Circle  S P Ring Road  Hanspura  Village Bilasiya,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Gujarat,Ahmedabad,3 Star,Without Alcohol,Palm Greens Club  Unit of Snesh Resorts Private Limited,NH No 8  Bareja   Kheda Highway  Village Goblaj  Near Bareja Ahmedabad,62,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Gujarat,Ahmedabad,3 Star,Without Alcohol,Regenta Central Antarim ,A Unit of Antarim Hotel LLP  Between Girish Cold Drink   St Xaviers Corner  C G Road  Navrangpura Ahmedabad,73,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Gujarat,Ahmedabad,3 Star,Without Alcohol,Regenta Inn   Ranip,Arved Transcube Plaza  Opp Adi Jati Girls Hostel  132 Ft Ring Road  Ranip Ahmedabad,102,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Gujarat,Ahmedabad,3 Star,Without Alcohol,TGB EXPRESS HOTEL  A UNIT OF HOTEL PALMLAKE  KANKARIA  PVT  LTD ,TGB EXPRESS HOTEL  NR  JALDHARA WATER PARK  KANKARIA GATE 5  MANINAGAR Ahmedabad Ahmedabad Ahmedabad,33,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Gujarat,Anand,3 Star,Without Alcohol,Humming Bird Hotel and Banquet,Behind Architect College  Near University Library  Iscon Temple Road  V V  Nagar  Anand,38,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Gujarat,Anand,3 Star,Without Alcohol,LA CASA INN ,UNIT OF SHREE A   A COMPANY,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Gujarat,Bharuch,3 Star,Without Alcohol,Regenta Central Harimangla,Near ABC Cir  Old N H  8  Bholav  Bharuch  Gujarat 392015,104,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Gujarat,Bharuch,3 Star,Without Alcohol,Regenta Central Hestia Dahej,SURVEY NO 106  VILLAGE  BHENSALI  TALUKA  VAGRA ,69,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gujarat,Bharuch,3 Star,Without Alcohol,VEDIK RESORT,SURVEY NO 45  OLPAD SAHOL ROAD  VILLAGE SAHOL  BHARUCH GUJARAT 394810,129,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Gujarat,Bhavnagar,3 Star,Without Alcohol,Top3 Lords Resort  A unit of Tree Top Resorts Spa Pvt  Ltd  ,Plot No 1   2  Near BPCL Petrol Pump  Budhel     Vartej Cross Road   Bhavnagar   Gujarat  364002,39,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gujarat,Bhavnagar,3 Star,Without Alcohol,VIRGO SUMERU,PLOT NO  109 A BESIDE STERLING POINT WAGHAWADI ROAD Bhavnagar,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL COMFORT INN PRINCE ,STATION ROAD Bhuj,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL ILARK,Nr RAVI CINEMA STATION ROAD,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Gujarat,Bhuj,3 Star,Without Alcohol,HOTEL SEVEN SKY,SEVEN SKY ENTERTAINMENT PVT LTD  AIRPORT ROAD  BHUJ   KUTCHH  PIN 370001  GUJARAT,82,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Gujarat,Bhuj,3 Star,Without Alcohol,LaKamp Resort  Unit of Kashish Resort ,Survey No 116 1  Near Rudra Mata Temple  Village Saraspar  Taluka Bhuj  Dist  Kutch 370001  Bhuj Bhuj,29,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Gujarat,Bhuj,3 Star,Without Alcohol,The Fern Residency Bhuj  A unit of Ms THE BESIL INN ,Bhuj Anjar Highway Near Tulsi Hotel Madhavpar Bhuj,46,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Gujarat,Dang,3 Star,Without Alcohol,Sunotel,Sunotel Unit of Shriji Resort Hotels Pvt  Ltd  Opp Lake Garden  Nageshwar Mahadev Temple Road  Saputara,90,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Gujarat,Dwarka,3 Star,Without Alcohol,Bapu   s Resort  Unit of Bapu Enterprise ,S NO 389P1  NH 8E Village Vachhu  Dwarka  Dwarka Dwarka ,52,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Gujarat,Jamnagar,3 Star,Without Alcohol,Highway Hari,Jamnagar Dwarka Highway  Near Vasai Toll booth  Ravalsar Patiya  ,19,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Gujarat,Kutch,3 Star,Without Alcohol,ambar sarovar portico,plot no 100 sector 8 near oslo circle Gandhidham Kutch Gujarat Pin 370201,58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gujarat,Mahesana,3 Star,Without Alcohol,HOTEL SHIVALIK,Nugar Bypass Highway Iskon Circle Opp Essar Petrol Pump  Nugar Mehsana,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Gujarat,Morabi,3 Star,Without Alcohol,Sarovar Portico  Unit of Specific Ceramic Hotel,Iskon Tiles Zone  8 A National Highway  Rafaleshwar,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Gujarat,Morbi,3 Star,Without Alcohol,Khajoora Hotel n Resort,Rajkot   Morbi HIghway  Tankara,40,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Gujarat,Morvi,3 Star,Without Alcohol,DARIYALAL HOTEL ,Survey no  66 paiki 1  66 paiki 2 and 68 paiki 2  Village  Jambudiya  Taluka  Morbi  District  Morbi 363642,18,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Gujarat,Morvi,3 Star,Without Alcohol,HOTEL THE GRAND VAIBHAV,LAKHDHIRPUR ROAD  N H  8A  MORBI   363642,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Gujarat,Morvi,3 Star,Without Alcohol,Lords Eco Inn unit of Hotel Seven Paradise,Pipli Jetpar Road  Seven Cera Mall  Village Bela  Morbi,40,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Gujarat,Morvi,3 Star,Without Alcohol,OAK TREE,SURVEY NO 22 JAMBUDIYA N H NO 27 A MORBI 363641 ,52,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Gujarat,Morvi,3 Star,Without Alcohol,Regenta Inn Unit of Hotel The Grand Dharmendra,Near HDFC Bank opp  shakti Chamber 8 a Natioanl highway lalpar Road Morvi,54,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Gujarat,Porbandar,3 Star,Without Alcohol,LORDS ECO INN,Chowpati Road  Near Circuit House ,29,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Gujarat,Porbandar,3 Star,Without Alcohol,Lords Eco Inn   A Unit of Delite Enterprise   ,Near Circuit House   Chopati Road   Porbandar ,29,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Gujarat,Rajkot,3 Star,Without Alcohol,AARYARAJ CLUB AND RESORTS,Opposite Gardi Vidyapith  Kallavad Road Chappra Rajkot 361162 Rajkot Rajkot,28,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Gujarat,Rajkot,3 Star,Without Alcohol,Hotel Comfort INN Legacy  Prop  S Kumar Associates Private Limited ,Limada Chowk  Near Lalbahadur Shastri Maidan  Panchnath Road ,37,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Gujarat,Rajkot,3 Star,Without Alcohol,Hotel KK Beacon  A Unit of Hotel K K   India  Private Limited ,The KK Circle  Kalawad Main Road  Rajkot Rajkot Rajkot Rajkot,34,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Gujarat,Rajkot,3 Star,Without Alcohol,Krishna Park Resort  A unit of Messrs Hotel Krishna Park Nursary ,Krishna Park Circle  Gondal Road  Vavdi  Rajkot Rajkot,29,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Gujarat,Rajkot,3 Star,Without Alcohol,marasa sarovar portico rajkot ,dr  rajendra prasad road  limda chowk  opposite shastri maidan rajkot ,68,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Gujarat,Rajkot,3 Star,Without Alcohol,Phoenix Hospitality,Kalawad Road  Ishwariya Road Corner  Rajkot   Gujarat,24,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Gujarat,Rajkot,3 Star,Without Alcohol,REGENCY LAGOON RESORT,NYARI DAM ROAD  OFF  KALAWAD ROAD  RAJKOT,120,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Gujarat,Rajkot,3 Star,Without Alcohol,Regenta Central Rajkot  Unit of P P Developers ,Everest Park  Kalawad Road,92,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Gujarat,Sanand,3 Star,Without Alcohol,Ginger Sanand,NH 8A  Mahalaxmi Industrial Estate  Village Iyava  Sanand Viramgam Highway  Ahead Essar petrol pump  Opp Hanuman Mandir  Sanand,104,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Gujarat,Saurashtra,3 Star,Without Alcohol,LORDS RESORT A UNIT OF SETU JOY PVT  LTD ,JOLLY ENJOY  R S  NO  64 P1 P2  NATIONAL HIGHWAY 8A  VILLAGE MAGHARIKHADA  TAL  CHOTILA  DIST  SURENDRANAGAR   363520,42,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Gujarat,Surat,3 Star,Without Alcohol,SHILPI HILL RESORT,SAPUTARA  DIST DANG GUJARAT,68,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Gujarat,Surat,3 Star,Without Alcohol,The Amore Banquets,Near V R Mall  Next to BPCL Petrol Pump  Magdalla,17,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Gujarat,Talaja,3 Star,Without Alcohol,The Postcard Gir Wildlife Sanctuary  A unit of The General s Retreat Gir ,KHATA NUMBER 75 SURVEY NUMBER 57 1A P8 VILLAGE SANGODARA  Talaja,15,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Gujarat,Vadodara,3 Star,Without Alcohol, The Fern  Akota Vadodara  A unit of Nand Hospitality Pvt  Ltd   ,PLOT NO 11  GOKHLE COLONY  BEHIND DINESH MILL  AKOTA Vadodara Vadodara Vadodara,72,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Gujarat,Vadodara,3 Star,Without Alcohol,COMFORT INN DONIL  MANISH EMPIRE ,OPP  RTO DARJIPURA  BS VANCHENTA KENDRA  NR  GOLDEN CHOKDI  NH 8 VADODARA 390022,79,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Gujarat,Vadodara,3 Star,Without Alcohol,Eastin Residences Vadodara,78 Sampatrao Colony  Off RC Dutt Road  Alkapuri,44,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Gujarat,Vadodara,3 Star,Without Alcohol,HOTEL RAMADA ENCORE ,UNIT OF SRPL  SHRESHTH BHARAT BHAVAN  STATUE OF UNITY  KEVADIYA COLONY  NARMADA  NANDOD  GUJARAT  393151,52,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Gujarat,Vadodara,3 Star,Without Alcohol,Kabir Hotel and Spa,Opp  F G I  Building  Sevasi Road  Vadodara ,57,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Gujarat,Vadodara,3 Star,Without Alcohol,Regenta Inn by Royal Orchid Hotels  unit of Cube Construction Engineering ltd ,Ved Transcube Plaza  opp  Railway Station  Near Central Bus Stand  Vadodara  ,58,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Gujarat,Vadodara,3 Star,Without Alcohol,Suncity LIfestyle,Gotri   Sherkhi Road,37,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Gujarat,Vapi,3 Star,Without Alcohol,HOTEL SILVER LEAF VILLAGE,PLOT NO   340 P 1 N H  NO   56 VILLAGE   KAKADKOPAR   VAPI   DHARAMPUR ROAD   KAKADKOPAR ,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Gujarat,Viramgam,3 Star,Without Alcohol,HOTEL MIDORI,PRATHAMA NR HONDA 2 WHEELER PLANT  VIRAMGAM BECHRAJI HIGHWAY  VITHLAPUR TALUKA MANDAL,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Haryana,Ambala,3 Star,Without Alcohol,MM CONTINENTAL HOTEL,NH 73  AMBALA  JAGADHARI HIGHWAY  MULLANA  AMBALA HARYANA,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Haryana,Gurgaon,3 Star,Without Alcohol,Country Inn   Suites By Carlson  A Unit of Tuberose Hotel ,Plot No 301 302  Sector   12  Old Delhi Road  Gurgaon   122001  Haryana  India,73,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Haryana,Gurgaon,3 Star,Without Alcohol,Fortune Park Orange  A unit Of Orange SPA Hotel and Resorts Pvt  Ltd,K M  Stone 67  NH 8  Sidhrawali,96,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Haryana,Gurgaon,3 Star,Without Alcohol,IBIS GURGAON,ibis Gurgaon Golf Course Road Block 1 Sector 53 Gurgaon,214,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Haryana,Gurgaon,3 Star,Without Alcohol,Lemon Tree Hotel  Tarudhan Valley   Manesar  A unit of Coronet Hotel Services and Supplies Pvt  Ltd  ,Tarudhan Valley  Village Dadu  P O  Hasanpur  Tehsil Tauru  District Mewat Gurgaon,70,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Haryana,Gurgaon,3 Star,Without Alcohol,Lemon Tree Hotel Tarudhan Valley,Lemon Tree Hotel  Tarudhan Valley  Village Dadu  Tehsil Tauru  Mewat  Gurugram Gurgaon,70,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Haryana,Gurgaon,3 Star,Without Alcohol,Skycity Hotels Private Limited,1 Old Judicial Complex  Jharsa Road  Sector 15 Gurgaon,55,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Haryana,Rewari,3 Star,Without Alcohol,Aravali Resorts,76th Mile Stone  NH8  Dharuhera  District Rewari,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Himachal Pradesh,Solan,3 Star,Without Alcohol,Timber Trail Resort  Unit of Asia Resort Ltd  ,Parwanoo  Distt  Solan   Himachal Pradesh,28,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Karnataka,Bangalore,3 Star,Without Alcohol,Angsana Oasis Spa and Resort  A unit of Prestige Leisure Resorts Pvt  Ltd  ,ADDEVISHWANATHAPURA VILLAAGE MAIN DODDABALLAPURA ROAD RAJANUKUNTE BANGALORE 560064 Bangalore Bangalore,79,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Karnataka,Bangalore,3 Star,Without Alcohol,Holiday Inn Express and Suites Bengaluru  OMR  Unit of Brigade Hotel Ventures Limited,Survey No  49  Huskur Village  Bidarahalli Hobli  Bengaluru East Taluk  ,237,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Kerala,Adoor,3 Star,Without Alcohol,CENTRAL PARK HOTEL,OPP  RELIANCE FILLING STATION  K P ROAD   ADOOR  ,10,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Kerala,Alappuzha,3 Star,Without Alcohol,ALLEPPEY PRINCE HOTEL,A S ROAD NH 47 ALAPPUZHA KERALA STATE,43,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Kerala,Alappuzha,3 Star,Without Alcohol,Enkey s Residency,Pathirappally NH 66 Pathirappally PO ,10,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL INDRAPRASTHA,CHARUMMOODU PO  MAVELIKARA  ALAPPUZHA  KERALA ,10,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL KALAI,HOTEL KALAI  KUTTITHERUVU JN  Kayamkulam  Alappuzha,15,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL KARTHIYAYINI,HOTEL KARTHIYAYINI  OTTAPPUNNA JUNCTION  CHERTHALA PO  ALAPPUZHA 688524,12,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Kerala,Alappuzha,3 Star,Without Alcohol,JEENA RESIDENCY,OPP KSRTC BUS STATION  HARIPAD  ALAPPUZHA DISTRICT,10,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Kerala,Alappuzha,3 Star,Without Alcohol,Magnet Hotels,V C S B Road Near KSRTC Bus stand Alleppey,12,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Kerala,Alappuzha,3 Star,Without Alcohol,THE ROYALE PLAZA,THE ROYALE PLAZA  NEAR RAILWAY OVER BRIDGE  K P ROAD  KAYAMKULAM  ,24,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Kerala,Angamaly,3 Star,Without Alcohol,HOTEL BLUE BELLS  a Unit of EDASSERY MOTELS AND VILLAS  ,HOTEL BLUE BELLS  ANGADIKADAVU ROAD  ANGAMALY P O  ERNAKULAM DISTRICT  KERALA 683572,14,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Kerala,Angamaly,3 Star,Without Alcohol,HOTEL HILLS PARK  MATHA ENTERPRISES ,NEAR KSRTC BUS STAND  ANGAMALY  ERNAKULAM ,17,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Kerala,Angamaly,3 Star,Without Alcohol,HOTEL MAXX INN,KARUKUTTY  ERNAKULAM,10,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Kerala,Angamaly,3 Star,Without Alcohol,The Hotel Chettungal,Aluva Road  Angamaly,10,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Kerala,Angamaly,3 Star,Without Alcohol,Vrindavan Retreat,Bldg No IV 38 Madhurapuram Mekkad Vattaparambu Road Mekkad  Post  Athani Ernakulam Dist   ,10,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Kerala,Attingal,3 Star,Without Alcohol,DEV RESIDENCY,MOONUMUKKU ATTINGAL P O  ATTINGAL THIRUVANANTHAPURAM,11,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Kerala,Calicut,3 Star,Without Alcohol,Hill Side ,Near NIT  Kariyakulangara   Mukkam Calicut  Kerala ,11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Kerala,Calicut,3 Star,Without Alcohol,Hotel Maharani  A unit of Hotel Maharani Pvt  Ltd  ,Taluk Road  Puthiyara P O  Kozhikode Calicut,43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Kerala,Calicut,3 Star,Without Alcohol,Hotel Surya,Paithoth Road  Perambra  Kozhikode,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Kerala,Calicut,3 Star,Without Alcohol,Mavoor Regency,Poovattuparamba P O  Kozhikode,10,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Kerala,Calicut,3 Star,Without Alcohol,Park Residency,G H Road  Calicut,20,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Kerala,Calicut,3 Star,Without Alcohol,Park Residency   Kuttiyadi  A unit of Flair Hotels and Resorts Pvt  Ltd,ADUKKATH PO  KUTTIYADI  CALICUT  Calicut,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Kerala,Calicut,3 Star,Without Alcohol,Prinz Residency,Near Chengottukavu Bridge  P O Melur  Koyilandy,17,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Kerala,Calicut,3 Star,Without Alcohol,The North Park,N H Bye Pass  Nut Street  Vatakara  Calicut Dist Calicut Calicut,18,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Kerala,Chalakudy,3 Star,Without Alcohol,Hotel Harshavardhana Inn,Opposite Apollo Tyres  N H 47  Potta  Post   Chalakudy ,15,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Kerala,Chalakudy,3 Star,Without Alcohol,Hotel Rachana Continental  A unit of Hotel Rachana Continental Pvt Ltd  ,KSRTC Road  Chalakudy  Thrissur Chalakudy,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Kerala,Changanassery,3 Star,Without Alcohol,Hotel Panchavady,Near KSRTC  Kavala  Changanacherry  Kottayam,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Kerala,Changanassery,3 Star,Without Alcohol,Hotel Breezeland  A unit of Breezeland Hotels Ltd ,By Pass Junction  M C Road  Vazhappally  Changanacherry  Changanassery,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Kerala,Changanassery,3 Star,Without Alcohol,HOTEL VANI,CENTRAL JUNCTION  KAVALA CHANGANASSERY,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Kerala,Chengannur,3 Star,Without Alcohol,NAVARATNA TOURIST HOME,M C Road   Chengannur   Alappuzha  Dist ,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Kerala,CHERAI,3 Star,Without Alcohol,Cherai beach resorts,Cherai po  vypin island Ernakulam district  Kerala State 683513 CHERAI CHERAI,25,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Kerala,Cherthala,3 Star,Without Alcohol,Hotel Aroor Residency ,NH 66 Aroor Alappuzha  Kerala,17,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Kerala,Cherthala,3 Star,Without Alcohol,Hotel Envees,Hotel Envees   Eramalloor  Cherthala,10,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Kerala,Cherthala,3 Star,Without Alcohol,Keerthi Palace Restaurant,Ponnamvely Pattanakkad P O Cherthala Cherthala,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Kerala,Ernakulam,3 Star,Without Alcohol,Amruthu Residency,M C Road  Koothattukulam  Ernakulam,13,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Kerala,Ernakulam,3 Star,Without Alcohol,Arpitha Tourist Home,Nayarambalam Ernakulam,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
